                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1794,                 4.1359,                 4.0835,                  9e-05,                0.03158,                0.01255,                0.00627,                 2.9502,                 5.4773,                 4.1205,             0.00054889,             0.00054889,             0.00054889
                      2,                 2.9368,                 3.4693,                 3.4578,                0.63135,                0.08421,                0.04593,                0.01069,                 2.6762,                 6.0875,                 3.3468,              0.0010936,              0.0010936,              0.0010936
                      3,                 2.4389,                 2.7754,                 2.9547,                 0.3005,                 0.5233,                0.32461,                0.12189,                 2.2252,                 3.6937,                 2.6438,              0.0016274,              0.0016274,              0.0016274
                      4,                 2.1209,                 2.1951,                 2.6273,                0.42042,                0.54985,                0.43979,                0.16001,                 2.1201,                 3.4065,                 2.5974,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9821,                 1.9494,                 2.4381,                0.54048,                0.55451,                0.59507,                0.20997,                 2.1342,                 2.1084,                 2.4364,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.8102,                 1.7315,                 2.2564,                 0.5454,                0.55015,                0.58301,                0.24462,                 1.8856,                 2.5064,                 2.3081,               0.001601,               0.001601,               0.001601
                      7,                 1.7108,                 1.5424,                  2.149,                0.70833,                0.66332,                0.72508,                0.30569,                  1.968,                 1.8733,                 2.3332,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.6357,                 1.4364,                 2.0662,                0.57976,                 0.6246,                0.65235,                0.31243,                 1.8387,                  1.809,                 2.0724,               0.001568,               0.001568,               0.001568
                      9,                 1.6105,                 1.3805,                 1.9848,                0.75574,                0.66138,                0.79411,                0.42425,                  1.645,                 1.7721,                 1.9198,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.5437,                 1.3112,                 1.9132,                0.85184,                0.70586,                0.83804,                 0.4388,                 1.7375,                 1.6163,                 2.0175,               0.001535,               0.001535,               0.001535
                     11,                 1.4656,                 1.2247,                   1.85,                0.81286,                 0.7871,                0.84785,                0.46163,                 1.6105,                 1.3335,                 1.9068,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.4559,                 1.1924,                 1.8154,                0.80276,                0.63114,                0.72373,                0.35694,                  1.858,                 1.7606,                  2.027,               0.001502,               0.001502,               0.001502
                     13,                 1.4289,                 1.1571,                 1.7726,                0.66004,                0.74737,                 0.7884,                  0.452,                 1.5944,                 1.5514,                 1.8169,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.4181,                 1.1184,                 1.7604,                0.87982,                0.84116,                0.90838,                0.54196,                 1.4924,                 1.0547,                 1.6977,               0.001469,               0.001469,               0.001469
                     15,                  1.399,                 1.0976,                 1.7329,                0.82919,                0.78091,                0.84516,                0.42979,                 1.7946,                  1.254,                 1.9736,              0.0014525,              0.0014525,              0.0014525
                     16,                  1.382,                 1.0733,                 1.7021,                0.83883,                0.74558,                 0.8311,                0.48555,                 1.5353,                 1.2442,                 1.7707,               0.001436,               0.001436,               0.001436
                     17,                  1.344,                 1.0266,                 1.6743,                0.87398,                0.81631,                0.90323,                0.51471,                 1.6224,                 1.0723,                 1.7592,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3383,                 1.0146,                 1.6566,                0.85139,                0.86078,                0.90875,                0.54139,                 1.4586,                 1.0635,                 1.6885,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.2876,                0.98754,                 1.6243,                0.81503,                0.79236,                0.88331,                0.53335,                 1.4573,                 1.2122,                 1.6519,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2964,                0.96782,                  1.634,                0.83522,                0.78872,                0.81908,                0.47779,                 1.5893,                 1.2715,                 1.7897,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.2873,                 0.9588,                 1.6217,                0.69562,                0.70406,                0.80552,                0.48354,                 1.4839,                 1.9884,                 1.6668,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.2571,                0.92135,                 1.5964,                 0.9416,                0.88023,                0.93274,                0.59307,                 1.4017,                0.89699,                 1.6085,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.2646,                0.90169,                 1.5866,                0.76986,                  0.764,                0.81179,                0.46007,                 1.6105,                 1.1998,                 1.7665,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.2464,                0.89523,                 1.5717,                0.85524,                0.88663,                0.92586,                0.54726,                 1.5307,                0.99037,                  1.685,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2391,                0.85295,                 1.5711,                0.86138,                0.90405,                0.93958,                0.57185,                 1.3689,                0.90026,                 1.5709,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.2403,                 0.8638,                 1.5489,                0.85114,                0.84751,                0.91066,                0.55421,                 1.4319,                0.97122,                 1.6177,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.2104,                0.88747,                 1.5474,                0.90963,                0.89092,                0.93741,                0.57394,                 1.4484,                0.91245,                 1.6286,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.2058,                0.86927,                 1.5407,                0.90133,                0.86316,                 0.9411,                0.59117,                 1.3715,                 1.0348,                 1.5749,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.2035,                0.83542,                 1.5291,                0.92943,                0.85519,                0.94413,                0.58027,                 1.4217,                0.85854,                 1.6036,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.2012,                0.82884,                 1.5365,                0.91642,                0.90504,                 0.9494,                0.57731,                 1.4667,                0.82485,                 1.6298,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1813,                0.81886,                 1.5172,                0.95602,                 0.9228,                0.95171,                 0.5562,                 1.4674,                0.83915,                 1.6408,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.1578,                0.81238,                 1.4901,                0.80934,                0.84288,                 0.8707,                0.53373,                  1.351,                 1.1551,                 1.5594,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.1604,                0.83546,                 1.4981,                0.91145,                0.83399,                 0.9303,                0.58336,                 1.3748,                0.94475,                 1.5708,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.1678,                0.80285,                 1.4894,                 0.8921,                0.92704,                0.95505,                0.59382,                 1.3816,                0.81069,                 1.5704,              0.0011389,              0.0011389,              0.0011389
